Time,Device name,Acceleration X(g),Acceleration Y(g),Acceleration Z(g),X acceleration amplitude(g),Y acceleration amplitude(g),Z acceleration amplitude(g),X velocity amplitude(mm/s),Y velocity amplitude(mm/s),Z velocity amplitude(mm/s),X displacement amplitude(um),Y displacement amplitude(um),Z displacement amplitude(um),X frequency vibration frequency(Hz),Y frequency vibration frequency(Hz),Z frequency vibration frequency(Hz),Chip Time(),Temperature(℃),Version number()
 22:20:02.162,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8125, 0.5903, 0.1826, 1.5200, 1.0176, 0.3691, 63.08, 45.20, 0.00, 510, 365, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:12.335, 21.78, 10210.1.22,
 22:20:02.253,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8130, 0.5903, 0.1826, 1.2949, 0.9150, 0.3354, 58.79, 42.84, 0.00, 475, 346, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:12.425, 22.09, 10210.1.22,
 22:20:02.341,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8130, 0.5898, 0.1826, 1.2363, 0.9150, 0.3252, 56.69, 41.64, 0.00, 458, 336, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:12.515, 21.97, 10210.1.22,
 22:20:02.432,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8130, 0.5894, 0.1826, 1.2578, 0.9673, 0.3262, 57.11, 42.03, 0.00, 462, 340, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:12.605, 22.22, 10210.1.22,
 22:20:02.521,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8135, 0.5894, 0.1826, 1.3496, 1.0669, 0.3379, 58.88, 43.26, 0.00, 476, 350, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:12.695, 21.78, 10210.1.22,
 22:20:02.612,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8135, 0.5894, 0.1826, 1.4414, 1.1548, 0.3550, 60.77, 46.24, 0.00, 491, 374, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:12.785, 21.90, 10210.1.22,
 22:20:02.701,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8135, 0.5898, 0.1826, 1.4561, 1.1621, 0.3589, 61.36, 47.16, 0.00, 496, 381, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:12.875, 21.90, 10210.1.22,
 22:20:02.790,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8135, 0.5898, 0.1826, 1.4639, 1.1592, 0.3647, 61.56, 47.26, 0.00, 498, 382, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:12.965, 21.71, 10210.1.22,
 22:20:02.881,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8140, 0.5898, 0.1831, 1.4883, 1.1943, 0.3804, 61.99, 47.71, 0.00, 501, 386, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:13.055, 21.90, 10210.1.22,
 22:20:02.972,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8140, 0.5898, 0.1831, 1.5566, 1.1997, 0.3896, 63.61, 48.46, 0.00, 514, 392, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:13.145, 21.84, 10210.1.22,
 22:20:03.063,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8140, 0.5903, 0.1831, 1.5498, 1.2100, 0.3901, 63.39, 48.60, 0.00, 513, 393, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:13.235, 21.71, 10210.1.22,
 22:20:03.152,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8140, 0.5903, 0.1831, 1.5498, 1.2100, 0.3901, 63.39, 48.60, 0.00, 513, 393, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:13.330, 21.97, 10210.1.22,
 22:20:03.241,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8140, 0.5903, 0.1836, 1.5063, 1.1685, 0.3921, 63.00, 48.28, 0.00, 509, 390, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:13.415, 21.78, 10210.1.22,
 22:20:03.331,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8140, 0.5903, 0.1836, 1.5293, 1.1904, 0.3872, 63.53, 48.80, 0.00, 514, 394, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:13.505, 21.84, 10210.1.22,
 22:20:03.422,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8140, 0.5908, 0.1841, 1.5435, 1.1987, 0.3911, 63.70, 48.75, 0.00, 515, 394, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:13.595, 21.46, 10210.1.22,
 22:20:03.513,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8135, 0.5908, 0.1841, 1.5723, 1.1885, 0.3906, 63.88, 48.43, 0.00, 516, 391, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:13.685, 21.84, 10210.1.22,
 22:20:03.601,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8135, 0.5913, 0.1846, 1.5967, 1.2373, 0.4014, 64.60, 48.91, 0.00, 522, 395, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:13.775, 21.90, 10210.1.22,
 22:20:03.690,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8135, 0.5913, 0.1846, 1.5815, 1.2349, 0.3989, 64.19, 48.58, 0.00, 519, 393, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:13.865, 21.78, 10210.1.22,
 22:20:03.779,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8135, 0.5918, 0.1851, 1.5361, 1.1875, 0.3926, 62.88, 47.61, 0.00, 508, 385, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:13.955, 21.97, 10210.1.22,
 22:20:03.871,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8135, 0.5918, 0.1851, 1.5469, 1.1816, 0.3887, 63.06, 47.50, 0.00, 510, 384, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:14.045, 21.84, 10210.1.22,
 22:20:03.961,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8135, 0.5918, 0.1855, 1.5073, 1.1855, 0.3867, 61.29, 47.33, 0.00, 496, 383, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:14.135, 21.84, 10210.1.22,
 22:20:04.050,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8135, 0.5918, 0.1855, 1.4922, 1.1719, 0.3872, 62.52, 47.52, 0.00, 506, 384, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:14.225, 21.71, 10210.1.22,
 22:20:04.142,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8135, 0.5918, 0.1855, 1.4922, 1.1719, 0.3872, 62.52, 47.52, 0.00, 506, 384, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:14.315, 21.90, 10210.1.22,
 22:20:04.234,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8135, 0.5918, 0.1860, 1.4448, 1.1548, 0.3911, 62.41, 47.01, 0.00, 505, 380, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:14.405, 21.90, 10210.1.22,
 22:20:04.325,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8140, 0.5918, 0.1860, 1.4604, 1.1641, 0.3896, 63.10, 46.95, 0.00, 510, 379, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:14.500, 21.97, 10210.1.22,
 22:20:04.416,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8140, 0.5918, 0.1865, 1.5034, 1.1938, 0.3804, 63.45, 47.45, 0.00, 513, 384, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:14.590, 22.09, 10210.1.22,
 22:20:04.508,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8140, 0.5918, 0.1865, 1.5522, 1.2124, 0.3940, 63.85, 47.41, 0.00, 516, 383, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:14.680, 21.65, 10210.1.22,
 22:20:04.596,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8145, 0.5918, 0.1865, 1.5845, 1.2354, 0.3940, 64.41, 47.50, 0.00, 521, 384, 0, 19.6, 19.9, 19.6, 2000-00-00 01:11:14.770, 21.97, 10210.1.22,
 22:20:04.684,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8145, 0.5923, 0.1865, 1.5771, 1.2393, 0.3872, 64.23, 47.71, 0.00, 519, 386, 0, 19.6, 19.9, 19.6, 2000-00-00 01:11:14.860, 21.78, 10210.1.22,
 22:20:04.772,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8145, 0.5923, 0.1870, 1.6138, 1.2505, 0.3779, 64.67, 47.64, 0.00, 523, 385, 0, 19.6, 19.9, 19.6, 2000-00-00 01:11:14.950, 21.59, 10210.1.22,
 22:20:04.863,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8149, 0.5918, 0.1870, 1.5737, 1.1919, 0.3711, 63.68, 46.03, 0.00, 515, 372, 0, 19.6, 19.9, 19.6, 2000-00-00 01:11:15.035, 21.84, 10210.1.22,
 22:20:04.954,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8149, 0.5918, 0.1870, 1.4775, 1.1343, 0.3682, 62.05, 44.79, 0.00, 502, 362, 0, 19.6, 19.9, 19.6, 2000-00-00 01:11:15.125, 21.65, 10210.1.22,
 22:20:05.043,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8149, 0.5913, 0.1870, 1.4810, 1.1084, 0.3579, 61.98, 43.45, 0.00, 501, 351, 0, 19.6, 19.9, 19.6, 2000-00-00 01:11:15.220, 21.71, 10210.1.22,
 22:20:05.132,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8154, 0.5913, 0.1870, 1.5083, 1.1377, 0.3765, 62.90, 44.98, 0.00, 509, 364, 0, 19.6, 19.9, 19.6, 2000-00-00 01:11:15.305, 22.09, 10210.1.22,
 22:20:05.220,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8154, 0.5913, 0.1870, 1.5186, 1.1704, 0.3730, 63.09, 46.24, 0.00, 510, 374, 0, 19.6, 19.9, 19.6, 2000-00-00 01:11:15.395, 21.78, 10210.1.22,
 22:20:05.310,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8154, 0.5913, 0.1870, 1.5186, 1.1704, 0.3730, 63.09, 46.24, 0.00, 510, 374, 0, 19.6, 19.9, 19.6, 2000-00-00 01:11:15.485, 21.90, 10210.1.22,
 22:20:05.400,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8154, 0.5913, 0.1875, 1.4927, 1.1362, 0.3735, 62.87, 45.85, 0.00, 508, 371, 0, 19.6, 19.9, 19.6, 2000-00-00 01:11:15.575, 21.84, 10210.1.22,
 22:20:05.490,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8154, 0.5913, 0.1875, 1.5015, 1.1182, 0.3857, 62.85, 45.51, 0.00, 508, 368, 0, 19.6, 19.9, 19.6, 2000-00-00 01:11:15.665, 21.78, 10210.1.22,
 22:20:05.580,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8159, 0.5913, 0.1875, 1.4922, 1.1284, 0.3804, 62.76, 45.46, 0.00, 507, 367, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:15.755, 21.84, 10210.1.22,
 22:20:05.672,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8159, 0.5913, 0.1875, 1.4624, 1.1396, 0.3774, 62.25, 45.31, 0.00, 503, 366, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:15.845, 21.65, 10210.1.22,
 22:20:05.762,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8159, 0.5913, 0.1880, 1.4585, 1.1191, 0.3638, 62.55, 45.52, 0.00, 506, 368, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:15.935, 21.84, 10210.1.22,
 22:20:05.852,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8159, 0.5913, 0.1880, 1.4878, 1.1372, 0.3599, 62.69, 45.83, 0.00, 507, 370, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:16.025, 21.78, 10210.1.22,
 22:20:05.942,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8159, 0.5913, 0.1880, 1.4917, 1.1670, 0.3574, 62.55, 46.07, 0.00, 506, 372, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:16.115, 21.78, 10210.1.22,
 22:20:06.031,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8154, 0.5913, 0.1885, 1.4688, 1.1484, 0.3613, 62.13, 45.81, 0.00, 502, 370, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:16.205, 21.84, 10210.1.22,
 22:20:06.122,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8154, 0.5913, 0.1885, 1.5024, 1.1841, 0.3794, 62.88, 46.22, 0.00, 508, 374, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:16.295, 21.84, 10210.1.22,
 22:20:06.210,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8154, 0.5913, 0.1885, 1.5024, 1.1841, 0.3794, 62.88, 46.22, 0.00, 508, 374, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:16.385, 21.71, 10210.1.22,
 22:20:06.300,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8154, 0.5913, 0.1885, 1.5103, 1.1890, 0.3750, 62.74, 46.00, 0.00, 507, 372, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:16.475, 21.78, 10210.1.22,
 22:20:06.388,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8154, 0.5913, 0.1885, 1.4712, 1.1543, 0.3760, 61.39, 44.59, 0.00, 496, 360, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:16.565, 21.90, 10210.1.22,
 22:20:06.478,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8154, 0.5913, 0.1890, 1.4893, 1.1797, 0.3745, 60.69, 45.04, 0.00, 491, 364, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:16.655, 21.78, 10210.1.22,
 22:20:06.568,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8154, 0.5913, 0.1890, 1.5249, 1.2051, 0.3789, 60.12, 46.20, 0.00, 486, 373, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:16.745, 21.78, 10210.1.22,
 22:20:06.657,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8154, 0.5913, 0.1890, 1.6050, 1.2212, 0.3931, 63.18, 47.51, 0.00, 511, 384, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:16.830, 21.90, 10210.1.22,
 22:20:06.746,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8154, 0.5913, 0.1895, 1.6064, 1.1958, 0.3940, 64.30, 47.93, 0.00, 520, 387, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:16.920, 22.09, 10210.1.22,
 22:20:06.836,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8159, 0.5913, 0.1895, 1.5630, 1.1582, 0.3765, 64.00, 47.96, 0.00, 517, 388, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:17.010, 21.97, 10210.1.22,
 22:20:06.926,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8159, 0.5913, 0.1895, 1.5151, 1.1235, 0.3696, 63.30, 47.26, 0.00, 512, 382, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:17.100, 21.97, 10210.1.22,
 22:20:07.015,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8164, 0.5908, 0.1895, 1.5059, 1.1343, 0.3604, 61.99, 46.44, 0.00, 501, 375, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:17.190, 21.78, 10210.1.22,
 22:20:07.103,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8164, 0.5903, 0.1895, 1.4902, 1.1147, 0.3496, 61.72, 45.88, 0.00, 499, 371, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:17.280, 21.90, 10210.1.22,
 22:20:07.194,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8164, 0.5903, 0.1895, 1.4902, 1.1147, 0.3496, 61.72, 45.88, 0.00, 499, 371, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:17.370, 21.90, 10210.1.22,
 22:20:07.284,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8164, 0.5903, 0.1895, 1.4995, 1.0923, 0.3525, 61.43, 44.53, 0.00, 497, 360, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:17.460, 22.09, 10210.1.22,
 22:20:07.373,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8169, 0.5898, 0.1895, 1.3457, 0.9565, 0.3311, 58.57, 42.77, 0.00, 474, 346, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:17.550, 21.78, 10210.1.22,
 22:20:07.462,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8169, 0.5894, 0.1895, 1.0303, 0.7168, 0.3223, 55.04, 39.43, 0.00, 445, 319, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:17.635, 21.78, 10210.1.22,
 22:20:07.551,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8169, 0.5889, 0.1895, 0.8535, 0.6001, 0.3154, 52.99, 38.19, 0.00, 428, 309, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:17.725, 21.97, 10210.1.22,
 22:20:07.642,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8169, 0.5884, 0.1895, 0.7681, 0.5410, 0.3115, 52.20, 37.49, 0.00, 422, 303, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:17.815, 21.90, 10210.1.22,
 22:20:07.731,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8169, 0.5884, 0.1895, 0.7432, 0.5361, 0.3110, 51.86, 37.34, 0.00, 419, 302, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:17.905, 21.78, 10210.1.22,
 22:20:07.821,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8169, 0.5884, 0.1895, 0.7329, 0.5459, 0.3135, 51.97, 37.91, 0.00, 420, 306, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:17.995, 21.84, 10210.1.22,
 22:20:07.911,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8169, 0.5879, 0.1895, 0.7412, 0.5635, 0.3193, 52.49, 39.51, 0.00, 424, 319, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:18.085, 21.78, 10210.1.22,
 22:20:08.001,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8164, 0.5879, 0.1895, 0.7295, 0.5869, 0.3203, 52.94, 40.98, 0.00, 428, 331, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:18.175, 21.90, 10210.1.22,
 22:20:08.092,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8164, 0.5874, 0.1895, 0.7178, 0.5908, 0.3389, 52.76, 41.12, 0.00, 426, 332, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:18.265, 21.78, 10210.1.22,
 22:20:08.183,d3936a3e-b5f0-4115-b0f6-a014a23744d3, 0.8164, 0.5874, 0.1895, 0.7178, 0.5908, 0.3389, 52.76, 41.12, 0.00, 426, 332, 0, 19.6, 19.6, 19.6, 2000-00-00 01:11:18.355, 21.84, 10210.1.22,
